,Primary Tumor,Metastasis,Normal Tissue,Metastasis - Primary,Tumor - Normal
KRT73,3.0000000114809464,3.00000000523054,3.0000000024181612,-6.250406414665122e-09,5.93758198164096e-09
KRT75,3.000000011458867,3.0000000054001545,2.999999999610342,-6.058712642698083e-09,8.819168950680023e-09
KRT34,3.0000000112376415,2.99999999529313,3.0000000069188104,-1.594451148889675e-08,-3.653424673899508e-09
LCE2D,3.0000000109221,2.999999994491779,2.9999999985636725,-1.6430321103655388e-08,4.143267062772793e-09
SPRR2D,3.0000000108239755,3.0000000007961356,3.0000000045894266,-1.002783989179079e-08,1.2206289312644003e-09
CELA3A,3.0000000107795635,2.9999999998723577,2.999999999028041,-1.0907205805210651e-08,6.29791951922698e-09
LCE3D,3.00000001018179,3.0000000030626843,2.9999999971449847,-7.119105749353594e-09,9.477252316258955e-09
CELA3B,3.0000000098211497,3.000000000074789,2.9999999985803516,-9.746360607465476e-09,6.367617544356108e-09
CCL19,3.0000000097744044,2.9999999917484863,2.9999999947983462,-1.8025918091524318e-08,5.963098903549735e-09
GRHL2,3.000000009390939,3.000000003091915,2.999999997353916,-6.299023969091877e-09,8.887510727362269e-09
KRTAP9-2,3.000000008767096,3.0000000048916315,3.0000000002790705,-3.875464393843231e-09,6.550293196738721e-09
DSG1,3.000000008580057,2.9999999970131186,3.0000000010850023,-1.1566938518114966e-08,1.7115855399651991e-09
SERPINB12,3.000000008087499,2.9999999947787157,2.99999999594961,-1.3308783408660929e-08,5.4834972118555925e-09
KRT79,3.000000008055874,3.000000000624426,3.000000000207018,-7.431448345585068e-09,4.133132058825595e-09
ARG1,3.000000007802855,3.0000000147197974,3.0000000029804266,6.91694257426434e-09,8.280899521651008e-09
KRT77,3.000000007728209,2.9999999970680906,3.0000000005645187,-1.0660118565652965e-08,1.8336314688838229e-09
NLGN4Y,3.0000000075747364,3.0000000082296476,2.99999999752667,6.54911236352973e-10,1.0375521775074503e-08
CRCT1,3.000000007519535,3.000000007379051,2.9999999990334913,-1.404840688223885e-10,8.415801833194791e-09
KLK7,3.000000007412948,2.9999999986844337,2.9999999970603657,-8.72851435573807e-09,5.988325391115268e-09
CCL18,3.0000000072237873,2.999999999526847,2.9999999999796203,-7.69694041835578e-09,3.3956966127846044e-09
IGKV2D-28,3.0000000070504416,2.9999999940567945,2.999999998031328,-1.2993647047210288e-08,2.522289932471722e-09
KRT1,3.0000000070207156,2.999999999597696,3.0000000012640684,-7.4230195323821135e-09,2.0451373927699024e-09
DSC3,3.0000000067536368,3.0000000114015353,3.000000002747561,4.647898510512505e-09,6.33002494865309e-09
LGALS7B,3.0000000067419488,3.000000003937506,2.9999999982363077,-2.804442900128379e-09,7.10341963028327e-09
PF4,3.0000000066780905,2.9999999981300087,2.999999999411264,-8.54808179795441e-09,2.992785574917889e-09
CIDEA,3.00000000667324,3.0000000010214873,2.9999999994939253,-5.6517528435051645e-09,4.353438498583273e-09
LCE4A,3.0000000066712125,2.999999999504966,3.000000001677145,-7.166246263068388e-09,1.4109442503240643e-09
CXCL10,3.00000000665193,3.0000000018736226,2.9999999973298355,-4.778307527431025e-09,6.932940888049188e-09
UTY,3.0000000065376757,3.0000000064667875,2.999999995429874,-7.08881842115261e-11,1.1072357697372581e-08
GJB3,3.000000006457064,3.0000000041360204,2.99999999777075,-2.3210438016008084e-09,7.525792433682454e-09
MAGEA6,3.0000000063478227,3.0000000005243854,3.000000002354529,-5.823437287943989e-09,1.081574829697729e-09
MLANA,3.00000000634092,3.0000000010422485,2.9999999976886738,-5.298671279518885e-09,6.002910168945164e-09
DDX3Y,3.0000000061090177,3.0000000131196094,2.9999999983829,7.010591662748311e-09,1.12314135769509e-08
S100A7,3.0000000059568905,2.999999997432638,2.9999999977840344,-8.524252415043065e-09,3.910729962086634e-09
EIF1AY,3.0000000058279648,3.000000004396759,3.0000000009845142,-1.4312058205234734e-09,4.127847841317589e-09
DSC1,3.0000000057464584,3.0000000157453117,3.0000000008069128,9.998853300885457e-09,9.938972311829275e-09
LCE6A,3.000000005262052,3.0000000076241156,3.000000002220549,2.362063433736239e-09,4.22253476628498e-09
UBD,3.000000005163666,3.0000000016101733,2.9999999998980496,-3.553492611274578e-09,3.4888700817248264e-09
KLK11,3.0000000050529203,2.9999999981730547,3.0000000009071393,-6.879865566133958e-09,7.058482687227752e-10
KRTAP3-2,3.000000004718536,3.000000009980654,3.0000000028070946,5.262118296656126e-09,4.54250015380353e-09
KRT6C,3.0000000043321973,3.000000000741855,3.000000001660926,-3.5903422457295164e-09,8.761000813706232e-10
LCE1F,3.000000003977759,3.0000000039952384,3.000000003584282,1.7479351299698465e-11,4.0221648234251006e-10
IGHV3-11,3.000000003873942,2.9999999969210087,3.0000000049559934,-6.952933340187428e-09,-4.558518007513612e-09
